,time,value,type
9731,2025-05-02 18:55:00,0.9736,峰
9732,2025-05-02 19:00:00,0.9736,峰
9733,2025-05-02 19:05:00,0.9736,峰
9734,2025-05-02 19:10:00,0.9736,峰
9735,2025-05-02 19:15:00,0.9736,峰
9736,2025-05-02 19:20:00,0.9736,峰
9737,2025-05-02 19:25:00,0.9736,峰
9738,2025-05-02 19:30:00,0.9736,峰
9739,2025-05-02 19:35:00,0.9736,峰
9740,2025-05-02 19:40:00,0.9736,峰
9741,2025-05-02 19:45:00,0.9736,峰
9742,2025-05-02 19:50:00,0.9736,峰
9743,2025-05-02 19:55:00,0.9736,峰
9744,2025-05-02 20:00:00,0.9736,峰
9745,2025-05-02 20:05:00,0.9736,峰
9746,2025-05-02 20:10:00,0.9736,峰
9747,2025-05-02 20:15:00,0.9736,峰
9748,2025-05-02 20:20:00,0.9736,峰
9749,2025-05-02 20:25:00,0.9736,峰
9750,2025-05-02 20:30:00,0.9736,峰
9751,2025-05-02 20:35:00,0.9736,峰
9752,2025-05-02 20:40:00,0.9736,峰
9753,2025-05-02 20:45:00,0.9736,峰
9754,2025-05-02 20:50:00,0.9736,峰
9755,2025-05-02 20:55:00,0.9736,峰
9756,2025-05-02 21:00:00,0.6369,平
9757,2025-05-02 21:05:00,0.6369,平
9758,2025-05-02 21:10:00,0.6369,平
9759,2025-05-02 21:15:00,0.6369,平
9760,2025-05-02 21:20:00,0.6369,平
9761,2025-05-02 21:25:00,0.6369,平
9762,2025-05-02 21:30:00,0.6369,平
9763,2025-05-02 21:35:00,0.6369,平
9764,2025-05-02 21:40:00,0.6369,平
9765,2025-05-02 21:45:00,0.6369,平
9766,2025-05-02 21:50:00,0.6369,平
9767,2025-05-02 21:55:00,0.6369,平
9768,2025-05-02 22:00:00,0.1879,深谷
9769,2025-05-02 22:05:00,0.1879,深谷
9770,2025-05-02 22:10:00,0.1879,深谷
9771,2025-05-02 22:15:00,0.1879,深谷
9772,2025-05-02 22:20:00,0.1879,深谷
9773,2025-05-02 22:25:00,0.1879,深谷
9774,2025-05-02 22:30:00,0.1879,深谷
9775,2025-05-02 22:35:00,0.1879,深谷
9776,2025-05-02 22:40:00,0.1879,深谷
9777,2025-05-02 22:45:00,0.1879,深谷
9778,2025-05-02 22:50:00,0.1879,深谷
9779,2025-05-02 22:55:00,0.1879,深谷
9780,2025-05-02 23:00:00,0.1879,深谷
9781,2025-05-02 23:05:00,0.1879,深谷
9782,2025-05-02 23:10:00,0.1879,深谷
9783,2025-05-02 23:15:00,0.1879,深谷
9784,2025-05-02 23:20:00,0.1879,深谷
9785,2025-05-02 23:25:00,0.1879,深谷
9786,2025-05-02 23:30:00,0.1879,深谷
9787,2025-05-02 23:35:00,0.1879,深谷
9788,2025-05-02 23:40:00,0.1879,深谷
9789,2025-05-02 23:45:00,0.1879,深谷
9790,2025-05-02 23:50:00,0.1879,深谷
9791,2025-05-02 23:55:00,0.1879,深谷
9792,2025-05-03 00:00:00,0.1879,深谷
9793,2025-05-03 00:05:00,0.1879,深谷
9794,2025-05-03 00:10:00,0.1879,深谷
9795,2025-05-03 00:15:00,0.1879,深谷
9796,2025-05-03 00:20:00,0.1879,深谷
9797,2025-05-03 00:25:00,0.1879,深谷
9798,2025-05-03 00:30:00,0.1879,深谷
